Location,Price (RM),Bathrooms,Car Parks,Type,Size,Furnishing,Bedrooms,Store,Size_Encoded
10,8280000,6,4,58,5137,1,4,1,2723
85,3690000,5,6,75,3658,2,4,1,2248
80,950000,3,2,12,1650,1,4,1,1157
16,4000000,7,4,49,5337,1,6,1,2775
10,9960000,7,6,57,6913,1,6,0,3090
10,6660000,5,3,58,4771,1,4,0,2652
10,6300000,5,3,57,4025,1,3,1,2400
85,628000,2,1,61,1150,1,3,0,698
85,628000,2,1,61,1150,1,3,0,698
54,1590000,4,2,57,1878,1,3,1,1328
43,3330000,3,1,83,2789,0,2,1,1852
73,428000,2,2,82,918,1,3,1,467
41,1200000,0,0,57,969,4,0,0,516
91,4800000,4,0,49,8300,1,5,1,3298
27,815000,2,0,57,1085,0,2,0,633
10,7500000,5,4,57,4025,1,3,1,2400
43,1450000,2,1,57,867,0,2,0,417
27,2950000,5,0,12,3082,2,3,1,1986
43,1000000,1,1,57,751,1,1,0,304
9,640000,2,1,82,823,4,2,0,373
9,840000,2,1,82,1119,4,3,0,667
54,2600000,5,3,58,3478,1,4,1,2162
91,1550000,3,2,82,1444,4,2,1,979
91,2750000,4,2,82,2426,1,3,1,1668
71,5500000,6,4,49,5446,0,5,1,2809
73,428000,2,2,82,918,2,3,1,467
19,14800000,9,6,46,12000,1,7,1,3630
43,28000000,16,10,45,26000,1,14,0,3887
70,770000,3,2,57,1186,1,3,0,731
24,3600000,7,5,45,5000,2,7,0,2702
24,6500000,6,4,45,8500,4,6,0,3328
43,870000,3,0,82,1055,0,2,1,602
43,1200000,2,1,61,976,1,2,0,523
10,7600000,6,0,45,7750,0,5,1,3217
69,720000,3,2,58,1577,0,3,1,1095
16,1150000,3,4,58,1772,1,5,1,1254
16,928000,3,2,58,1513,1,4,0,1040
43,1350000,2,1,82,900,0,1,1,449
35,360000,2,1,61,1088,1,3,0,636
43,1000000,1,1,60,751,1,1,0,304
43,830000,1,0,86,473,0,1,0,69
54,1865000,5,3,58,2535,1,3,1,1726
43,1308000,1,1,58,753,0,1,1,306
43,1760000,2,2,58,1159,0,2,1,706
81,568000,2,2,58,904,1,2,0,453
43,1020000,2,1,83,813,0,3,0,363
43,2400000,2,1,83,1103,0,2,0,651
43,1099000,2,1,82,833,0,2,1,383
43,1550000,2,2,83,910,0,2,0,459
54,1420000,4,2,57,1496,0,4,0,1024
54,2150000,4,0,58,2707,1,3,1,1812
54,2550000,5,2,57,2973,1,4,1,1927
54,1850000,3,2,82,1573,4,3,0,1091
16,980000,3,2,58,1513,0,4,1,1040
24,2650000,5,3,82,2077,1,3,1,1465
43,3364000,2,2,86,1399,0,2,1,937
43,1420000,2,1,58,976,1,2,1,523
43,2889000,2,1,86,1163,0,1,0,710
43,1450000,1,0,85,1050,0,1,0,597
2,6220000,6,0,57,4327,0,4,1,2505
22,1080000,2,1,61,1411,1,2,0,948
22,916000,1,1,57,1119,0,1,0,667
43,1240000,0,0,82,850,4,1,1,400
54,2500000,4,4,75,3833,1,5,1,2326
3,1280000,0,0,71,100000,4,0,0,4001
81,2200000,5,5,79,3282,1,4,1,2071
3,3600000,4,6,49,9670,2,4,1,3479
91,5000000,5,3,45,6000,0,7,1,2918
9,530000,1,0,86,638,0,1,0,194
42,2434900,4,1,82,1873,2,3,1,1325
24,1600000,2,1,82,1152,1,1,1,700
88,2000000,6,3,79,3200,1,6,0,2039
21,535000,1,1,86,762,1,1,0,313
43,6400000,4,0,57,2013,4,3,1,1420
43,1200000,3,2,82,1335,0,3,0,875
42,2550000,5,2,83,1830,1,3,1,1294
3,1480000,4,2,61,1876,0,3,1,1327
81,1348000,6,4,24,3216,2,5,0,2046
73,428000,2,2,82,918,1,3,1,467
54,618000,1,1,86,462,0,1,0,60
54,1590000,3,2,57,2201,1,3,1,1542
43,900000,2,0,82,811,0,2,1,361
54,1950000,0,3,57,1832,1,4,1,1296
54,1700000,4,2,57,1496,0,3,1,1024
73,360000,1,0,85,618,1,1,0,177
54,1950000,4,2,57,1830,1,4,1,1294
43,2300000,1,2,83,1023,1,1,0,570
43,1250000,3,2,83,1335,0,2,1,875
43,3166000,2,1,86,1423,0,2,0,959
35,370000,2,2,86,950,1,3,0,497
43,1000000,1,1,60,751,0,1,0,304
10,6700000,6,3,58,4771,4,4,1,2652
10,6600000,5,3,58,4025,3,3,1,2400
10,7400000,5,5,57,5137,1,4,1,2723
10,6600000,6,0,57,4945,1,4,1,2691
24,12800000,9,10,49,8000,0,6,1,3256
24,4500000,7,3,45,2970,1,5,1,1925
10,6800000,6,6,45,7416,1,5,2,3172
41,1288972,2,1,57,1076,0,2,0,623
42,3700000,3,1,82,1738,1,3,0,1230
43,8400000,3,2,61,2454,4,3,0,1682
21,410000,2,2,58,885,1,2,0,434
43,3360000,2,2,82,1421,1,1,1,957
24,1770000,2,1,82,1152,0,1,1,700
54,1860000,4,2,58,2070,1,3,1,1463
43,1450000,2,1,83,1050,0,2,0,597
16,1060000,4,4,58,1772,1,4,1,1254
16,900000,3,2,58,1513,1,4,1,1040
35,1080000,4,2,61,1875,1,3,1,1326
61,570000,2,1,58,1200,1,3,0,745
54,1880000,3,2,57,2243,1,3,1,1564
54,1685000,3,2,57,2038,1,3,1,1441
16,550000,2,2,61,1073,1,3,0,620
43,1000000,1,1,57,751,1,1,0,304
27,2790000,4,0,8,3000,1,3,1,1938
43,2500000,2,1,82,1023,1,1,0,570
27,2200000,5,0,8,2200,3,5,1,1541
43,780000,1,0,86,497,0,1,0,83
21,998000,5,0,20,4186,1,6,0,2454
14,2044800,2,1,82,912,0,2,0,461
16,1250000,4,2,57,1700,0,3,1,1201
43,4950000,4,2,87,3300,0,4,0,2081
54,1420000,4,2,57,1496,1,3,1,1024
35,928000,2,2,60,1523,2,2,2,1050
16,565000,2,2,57,1100,1,3,0,648
35,1550000,4,4,58,2638,1,3,1,1774
24,3200000,5,4,78,3670,1,4,1,2256
35,670000,2,2,82,907,0,3,0,456
43,1000000,1,1,57,657,1,1,0,213
22,5999000,4,3,59,3289,0,3,1,2077
35,1350000,4,3,58,2128,4,3,2,1499
54,2230000,5,3,57,2973,1,4,1,1927
22,830000,2,1,61,1072,0,2,0,619
22,1100000,4,2,61,2111,1,3,1,1490
24,8300000,6,4,49,6103,1,5,1,2942
78,3450000,5,3,49,5200,1,4,1,2741
54,1000000,2,0,82,1000,1,2,0,547
43,2300000,2,1,82,1023,1,1,0,570
43,3600000,5,2,83,3897,1,3,1,2350
54,2300000,4,2,57,2702,3,4,1,1809
43,1000000,1,1,60,751,1,1,0,304
43,4756000,2,2,58,1399,1,2,0,937
54,3580000,0,4,75,1300,4,4,2,841
54,1780000,3,2,83,1523,1,3,0,1050
43,1350000,2,1,82,900,0,1,1,449
43,2270000,2,0,86,1076,1,1,1,623
70,375000,2,1,82,743,2,2,0,296
9,380000,1,1,37,452,1,1,1,55
43,970000,1,1,86,603,0,1,0,162
16,900000,3,2,58,1513,1,4,0,1040
16,1060000,4,4,58,1772,1,4,1,1254
43,4250000,6,2,82,3300,0,4,1,2081
43,2200000,3,0,82,1888,1,3,1,1336
27,2300000,5,3,58,2454,1,4,1,1682
91,1950000,0,3,9,3700,1,4,0,2271
73,520000,2,2,58,1450,1,4,0,985
40,1420000,3,2,83,1582,0,3,1,1099
42,1065140,3,2,83,1025,1,3,0,572
27,1330000,0,2,61,1292,0,0,0,834
43,1299000,2,1,83,900,0,2,0,449
10,7600000,5,3,58,4771,2,4,1,2652
43,1238000,2,1,57,736,1,2,0,289
54,2390000,4,3,57,3043,2,4,1,1962
16,850000,2,2,57,1335,0,3,0,875
54,14500000,8,5,45,8600,0,5,2,3336
42,4718680,5,4,87,3143,1,4,1,2013
42,2050000,5,0,57,3004,0,5,1,1942
10,14800000,8,6,49,6507,1,12,0,3015
54,9900000,8,2,46,8700,1,6,1,3347
10,5000000,6,4,75,4800,1,6,0,2660
54,1850000,3,2,57,2020,0,3,1,1424
43,3360000,2,2,86,1572,1,2,0,1090
43,1000000,2,1,82,811,0,2,1,361
14,1000000,2,1,82,1012,0,0,0,559
85,3700000,5,6,79,3040,1,4,1,1960
85,4200000,5,4,49,1615,2,4,1,1128
10,18000000,7,6,49,15000,1,6,0,3733
85,2688888,5,9,57,4069,1,5,1,2419
10,8200000,6,5,58,4945,1,4,1,2691
54,6300000,5,6,57,8000,1,4,1,3256
85,5500000,7,6,49,7100,2,5,1,3119
35,550000,2,1,86,775,0,1,0,326
85,3688000,5,5,36,1367,1,4,1,906
43,1000000,2,1,86,849,0,2,1,399
22,1730000,3,1,83,1442,0,2,1,977
19,5500000,6,5,62,6900,1,5,0,3088
16,900000,3,3,58,1513,1,4,1,1040
16,1060000,4,4,58,1772,1,4,1,1254
81,630000,2,2,82,1025,1,2,1,572
16,900000,2,2,82,1170,1,3,0,717
73,428000,0,2,86,918,2,3,0,467
